Participant ID ,BUG ,CHALLENGE
P1,"BHW1,BMES1,BDEV4","CO4,CO5,CT7"
P1,BDEV4,"CS1,CT7"
P1,BDEV1,
P1,"BDS2,BDS1,BDEV4","CO4,CT7"
P1,,"CH2,CH3"
P1,BDEV1,CH2
,,
P2,,CH3
P2,,"CH3,CO4"
P2,"BMES3,BCOM1","CH2,CO4,CH3"
P2,,CO4
P2,,CH3
P2,BMES3,"CT4,CT3"
P2,,CH2
P2,,CH2
P2,BHW2,
P2,,"CT7,CO7"
P2,BCOM1,CO4
P2,,CH3
P2,,CH1
P2,,CH3
,,
P3,,"CH1,CH3"
P3,,CS1
P3,,CH3
P3,BCOM1,"CH1,CH3"
P3,BCOM2,CO4
P3,,"CT7,CO7"
P3,,"CT7,CO4"
P3,,"CO3,CO4"
P3,,CS3
P3,,"CT3,CT7"
P3,BDEV1,CO2
P3,BDEV1,"CO3,CS3"
P3,,"CT7,CH2"
P3,,CH3
P3,,"CT7,CH3"
P3,,CH3
P3,,"CH3,CT7,CO6"
P3,BDEV2,
P3,BDS1,CT7
P3,,"CT7,CO3"
P3,,"CH2,CO1,CH3"
,,
P4,,CO2
P4,"BMES1,RC6,RC5","CO2,CT6,CO5"
P4,"BCON3,BDIN2,RC6","CO2,CO5"
P4,"BFW1,BCON1",CS1
P4,"BFW1,BDEV4",CO2
P4,"BDEV4,RC6",CT4
P4,,CH2
P4,,"CO2,CS3"
P4,,CO5
,,
P5,,"CT1,CT2"
P5,,"CH1,CT5"
P5,,CT3
P5,,CT6
P5,,"CO2,CO5"
P5,,"CO5,CO4"
P5,,"CO5,CO3,CO2"
P5,,CO5
P5,,"CH2, CT7"
P5,,CH3
P5,BDEV4,"CH2,CO4"
P5,BCOM1,"CH2,CH1"
P5,,"CT3,CT1,CT2"
P5,"BDIN3,BDEV5,RC7",
P5,,"CT7,CT7"
P5,BAUT2,CH2
P5,,CH2
P5,,"CO5,CT2"
,,
P6,,CH1
P6,"BCOM2,BCOM1",CH2
P6,BDEV5,
P6,"BDEV5,BDEV4",
P6,"BCOM2,BDS2",CH1
P6,"BAUT1,BDS2,BCON3",CT7
P6,BMES2,
P6,BCON3,
P6,BCOM3,CH1
P6,"BDS2,BMES2,BDEV3",
P6,,"CS3,CT2"
P6,BMES3,
P6,"BCON3, BMES2","CO2,CO3,CO5"
P6,RC5,"CO5,CO2"
P6,BMES3,"CO2,CO5"
P6,,"CT1,CO3,CT2"
P6,,"CO2,CO5"
P6,BDEV2,CH2
,,
P7,"BCON3,BDS1","CT3,CT7"
P7,BDS1,"CT7,CT3"
P7,"BCON3,BAUT1",CO3
P7,"BCON2,BDS2,BDS1",CO5
P7,BDS2,"CT4,CT7"
P7,BDS1,
P7,BCOM3,
P7,"BHW1,BHW2,BMES3",
P7,"BAUT1,BMES3",CT2
P7,BHW2,CH1
P7,"BDEV5,BDEV4","CH3,CH1"
P7,,"CT3,CO3"
P7,,CH3
P7,"BHW1,RC5",CO4
P7,,"CS1,CS2"
P7,,CT3
P7,,CT5
P7,,CT7
P7,,"CT2,CT6"
,,
P8,,CH1
P8,BDEV5,CH2
P8,,"CH1,CH3"
P8,,"CT7,CH2,CH3"
P8,,"CH1,CH2"
P8,BHW2,
P8,"BDEV4,BMES2,BDS2,BHW1","CO4,CO2"
P8,BMES1,CH3
P8,,CS3
P8,BDEV4,"CH3,CS3"
P8,,CS3
P8,,CS3
P8,,CS3
P8,BDEV1,
P8,BDEV4,CS1
P8,,CS3
P8,BCON1,
P8,,CT5
P8,,"CT5,CH2"
P8,,"CT1,CT2"
P8,,CT3
P8,,CT3
P8,,"CT3,CT5"
P8,,CT3
P8,BCOM2,
,,
P9,BCON1,
P9,"BCON1,BNET1,BFW2",CO3
P9,"BCON1,BDEV4",
P9,BDEV4,"CH2,CT1"
P9,BCON1,"CT7,CO7"
P9,,CT4
P9,,"CH3,CT2"
P9,,CT5
P9,BCON1,
P9,BCON1,
P9,BMES3,CT7
P9,BDEV4,CH2
P9,BMES3,CO2
P9,,CT2
P9,,CT3
P9,,CT1
P9,,"CT3,CT2,CT6"
P9,,CT2
P9,,CT3
P9,,"CT1,CT5"
P9,,"CT1,CT5"
P9,,CS3
P9,,CS3
P9,,CS3
P9,,CO6
P9,,CO6
P9,,CH3
P9,,"CH2,CH3"
P9,,CO6
P9,,"CO3,CO5"
P9,,"CO3,CO5"